order_id,customer_id,order_date,status,shipping_address_id,billing_address_id,total_amount,payment_method
847137272846,1175220288,2024-11-14 17:28:20,PROCESSING,779537273547,85233809681,16027.0,Stripe
670766104202,608777649,2025-07-18 03:03:05,PENDING,533163323826,533163323826,7715.92,PayPal
995745669108,5071231726,2023-09-16 13:08:37,PENDING,923410540098,670367796326,1276.47,PayPal
388556892033,6226301782,2024-12-06 20:05:39,SHIPPED,807436794105,448545293499,4646.85,Credit Card
926384219992,8113244262,2024-02-05 02:42:30,PROCESSING,856938946404,856938946404,4042.73,Credit Card
304452747408,3629876206,2025-06-27 04:53:37,PENDING,662628717093,662628717093,2710.5,Credit Card
431404582491,1921238861,2024-08-11 00:05:22,PROCESSING,82076036574,462610246433,2859.57,Bank Transfer
436630932181,8040724404,2025-08-03 07:33:52,DELIVERED,983646434571,983646434571,7093.23,PayPal
362827266283,6655521628,2025-03-31 13:33:03,CANCELLED,674515014364,278701999130,8159.73,Stripe
421213102750,8210893910,2024-07-23 19:06:57,CANCELLED,8466746371,600159993736,497.91,Stripe
592378820885,5341948049,2025-06-05 19:14:06,DELIVERED,547042241255,547042241255,1333.3,Stripe
566365475812,9114154731,2024-03-13 20:55:35,CANCELLED,911916766772,911916766772,1117.3,PayPal
971612518158,7115678637,2025-06-21 15:51:42,CANCELLED,701857775148,701857775148,11687.23,Stripe
996586584863,2736982397,2023-08-31 21:50:00,PENDING,524171770166,524171770166,4214.43,Stripe
674915919956,5938931215,2025-03-27 11:39:32,PROCESSING,899437954956,899437954956,8691.76,Credit Card
989966813589,9072089129,2024-04-08 21:25:19,SHIPPED,982366459692,982366459692,9486.29,Credit Card
347299069028,7311915275,2023-11-20 16:41:49,DELIVERED,482870527207,850868945594,10525.21,PayPal
144013089571,1833481851,2024-12-20 08:37:29,SHIPPED,397617084628,397617084628,6165.04,Bank Transfer
781088254801,5974166620,2024-09-10 18:07:20,DELIVERED,674454354713,674454354713,1341.97,PayPal
59918866442,2189422192,2024-07-08 19:35:57,PROCESSING,798990597453,798990597453,6615.22,Credit Card
331271863772,1582210138,2025-01-23 14:24:15,DELIVERED,443488285593,766528424486,6597.48,Credit Card
