order_item_id,order_id,product_id,quantity,unit_price,line_total
572289781713298,847137272846,95053307,2,513.29,1026.58
131354794823212,847137272846,8650524,3,1496.59,4489.7699999999995
806957656603395,847137272846,88775564,3,1373.5,4120.5
146622995839989,847137272846,39789837,3,1231.14,3693.42
128312925105471,847137272846,12420654,3,898.91,2696.73
494617062755275,670766104202,24681816,3,605.81,1817.4299999999998
871176521034134,670766104202,31443453,1,354.31,354.31
666690763830335,670766104202,88874125,2,272.19,544.38
975153992556484,670766104202,51547510,3,1666.6,4999.799999999999
976639138725291,995745669108,65437753,1,1276.47,1276.47
519632615150894,388556892033,84192032,2,196.82,393.64
183050146627694,388556892033,35879022,2,507.49,1014.98
589059967680973,388556892033,17526202,1,469.71,469.71
986197608499579,388556892033,53394888,2,1060.64,2121.28
235494647072154,388556892033,1974948,1,647.24,647.24
858795448345314,926384219992,39995908,3,238.42,715.26
24566668272690,926384219992,21605233,3,20.05,60.150000000000006
487770867616007,926384219992,24264727,1,836.6,836.6
317766188126618,926384219992,14428837,3,810.24,2430.7200000000003
561345888838966,304452747408,91379594,2,1355.25,2710.5
258823385309619,431404582491,80199169,3,305.95,917.8499999999999
514990763704504,431404582491,1974948,3,647.24,1941.72
218791948464141,436630932181,2885116,2,1010.22,2020.44
955903890736135,436630932181,88638274,3,1690.93,5072.79
885844675405379,362827266283,35874578,2,1497.78,2995.56
687877590509849,362827266283,8368808,2,747.39,1494.78
379822166089485,362827266283,12121389,2,1037.58,2075.16
547834718195793,362827266283,96498393,2,338.19,676.38
85609112200302,362827266283,80199169,3,305.95,917.8499999999999
81177212528978,421213102750,40146676,2,14.69,29.38
721386937736498,421213102750,95061870,1,468.53,468.53
236104602008934,592378820885,60316270,1,798.69,798.69
26180692563405,592378820885,76471833,1,534.61,534.61
498173459504673,566365475812,52500701,1,291.57,291.57
665844679794019,566365475812,75893852,1,825.73,825.73
122341154524404,971612518158,16368614,3,181.44,544.3199999999999
826612871902100,971612518158,9116636,2,1524.99,3049.98
923120533196654,971612518158,98487566,3,1231.24,3693.7200000000003
95369702714851,971612518158,24870359,3,1081.44,3244.32
253346070051552,971612518158,26202603,1,1154.89,1154.89
818680132047551,996586584863,40271817,3,499.44,1498.32
896035208238902,996586584863,53589332,3,905.37,2716.11
402715913621498,674915919956,382751,2,718.84,1437.68
876098067161647,674915919956,16481501,3,1576.95,4730.85
460244691975453,674915919956,29510320,1,1229.84,1229.84
467163427343525,674915919956,63621116,3,395.67,1187.01
875709335038514,674915919956,60216787,1,106.38,106.38
212906390183826,989966813589,95887588,2,393.32,786.64
191638691937194,989966813589,88255454,3,1330.09,3990.2699999999995
293604483239895,989966813589,32751792,2,1805.48,3610.96
23881960620461,989966813589,19436380,2,549.21,1098.42
843714248472010,347299069028,68486275,3,1292.87,3878.6099999999997
427821516003212,347299069028,23608961,1,946.48,946.48
97597999757313,347299069028,19436380,1,549.21,549.21
773871961569440,347299069028,56181002,3,1716.97,5150.91
348716243490692,144013089571,35426413,2,205.95,411.9
638996725043735,144013089571,11215522,2,1532.12,3064.24
433248596221635,144013089571,21142965,2,1344.45,2688.9
258806544804876,781088254801,31226374,1,794.23,794.23
197565590596297,781088254801,38039518,1,547.74,547.74
437978844601142,59918866442,32756495,3,96.49,289.46999999999997
100408442939990,59918866442,90997584,1,49.37,49.37
954242878201025,59918866442,35874578,3,1497.78,4493.34
775207660752601,59918866442,58006414,2,694.25,1388.5
731587599804218,59918866442,58452269,2,197.27,394.54
853075538940444,331271863772,20254000,3,1090.74,3272.2200000000003
380325935906446,331271863772,68800836,3,1108.42,3325.26
159269298187624,997933321197,93678551,3,493.36,1480.08
963350744519303,53821265275,33189509,3,199.34,598.02
202132891783293,53821265275,13619160,3,864.86,2594.58
158932089552551,666054247416,51746425,1,125.33,125.33
602404958197062,747810382183,15292590,2,395.12,790.24
766778091593978,747810382183,78809566,3,330.59,991.77
839108444502510,747810382183,93927876,2,1360.21,2720.42
946249195674563,747810382183,62246295,1,1004.23,1004.23
632414282716126,408774211801,79744743,3,1676.08,5028.24
73800736400686,150866900423,16481501,2,1576.95,3153.9
987131349305280,79772497304,87529840,3,1750.51,5251.53
865208582307605,79772497304,78253980,2,226.36,452.72
